,Longitude,Latitude,Vs30 (m/s),Depth (m),DepthToRock (m)
0,28.8300,40.9565,384.5,0.0,292.1
1,28.8122,40.9586,348.3,0.0,257.7
2,28.8152,40.9586,360.8,0.0,270.6
3,28.8181,40.9586,384.4,0.0,276.6
4,28.8211,40.9586,377.9,0.0,276.8
5,28.8241,40.9587,342.1,0.0,275.2
6,28.8270,40.9587,402.1,0.0,281.5
7,28.8300,40.9587,380.6,0.0,291.9
8,28.8330,40.9588,389.4,0.0,301.3
9,28.8389,40.9588,388.1,0.0,301.6
10,28.8092,40.9608,356.4,0.0,260.1
11,28.8122,40.9608,268.1,0.0,275.9
12,28.8151,40.9608,359.9,0.0,277.2
13,28.8181,40.9609,398.8,0.0,274.2
14,28.8211,40.9609,383.9,0.0,272.1
15,28.8240,40.9609,370.5,0.0,277.4
16,28.8270,40.9610,431.4,0.0,284.6
17,28.8300,40.9610,371.8,0.0,284.9
18,28.8329,40.9610,358.5,0.0,293.4
19,28.8359,40.9610,401.2,0.0,296.0
20,28.8389,40.9611,414.3,0.0,293.9
21,28.8062,40.9630,363.3,0.0,270.3
22,28.8091,40.9630,376.3,0.0,279.9
23,28.8121,40.9631,354.7,0.0,284.4
24,28.8151,40.9631,356.4,0.0,279.3
25,28.8180,40.9631,367.6,0.0,272.8
26,28.8210,40.9631,379.3,0.0,269.6
27,28.8240,40.9632,398.1,0.0,274.7
28,28.8270,40.9632,408.9,0.0,282.1
29,28.8299,40.9632,425.3,0.0,279.9
30,28.8329,40.9633,399.1,0.0,282.2
31,28.8359,40.9633,418.1,0.0,284.0
32,28.8388,40.9633,409.8,0.0,279.8
33,28.8418,40.9634,432.5,0.0,270.6
34,28.8002,40.9652,413.4,0.0,277.7
35,28.8032,40.9652,337.7,0.0,279.3
36,28.8061,40.9652,353.3,0.0,275.7
37,28.8091,40.9653,409.9,0.0,285.1
38,28.8121,40.9653,388.4,0.0,284.8
39,28.8150,40.9653,432.0,0.0,283.3
40,28.8180,40.9654,405.8,0.0,274.0
41,28.8210,40.9654,401.8,0.0,271.6
42,28.8239,40.9654,413.0,0.0,278.6
43,28.8269,40.9655,416.7,0.0,280.0
44,28.8299,40.9655,406.8,0.0,275.8
45,28.8329,40.9655,348.4,0.0,276.9
46,28.8358,40.9655,399.0,0.0,269.2
47,28.8388,40.9656,425.2,0.0,262.3
48,28.8418,40.9656,402.6,0.0,262.2
49,28.7972,40.9674,349.6,0.0,282.5
50,28.8002,40.9674,320.5,0.0,297.5
51,28.8031,40.9675,327.2,0.0,284.6
52,28.8061,40.9675,348.7,0.0,286.7
53,28.8091,40.9675,359.7,0.0,287.5
54,28.8120,40.9676,383.5,0.0,284.5
55,28.8150,40.9676,385.6,0.0,281.0
56,28.8180,40.9676,368.8,0.0,269.7
57,28.8209,40.9676,465.6,0.0,275.1
58,28.8239,40.9677,406.1,0.0,278.0
59,28.8269,40.9677,402.6,0.0,274.0
60,28.8298,40.9677,387.2,0.0,269.3
61,28.8328,40.9678,438.8,0.0,268.6
62,28.8358,40.9678,427.4,0.0,257.6
63,28.8388,40.9678,423.6,0.0,247.0
64,28.8417,40.9679,402.6,0.0,246.9
65,28.8447,40.9679,363.6,0.0,244.5
66,28.6754,40.9683,310.0,0.0,188.4
67,28.6784,40.9684,280.8,0.0,194.7
68,28.7971,40.9697,351.4,0.0,300.6
69,28.8001,40.9697,366.9,0.0,300.9
70,28.8031,40.9697,387.8,0.0,295.4
71,28.8061,40.9697,377.5,0.0,292.1
72,28.8090,40.9698,388.6,0.0,287.0
73,28.8120,40.9698,371.6,0.0,281.2
74,28.8150,40.9698,365.9,0.0,276.2
75,28.8179,40.9699,329.6,0.0,271.7
76,28.8209,40.9699,375.3,0.0,270.0
77,28.8239,40.9699,422.0,0.0,270.5
78,28.8268,40.9700,443.3,0.0,267.2
79,28.8298,40.9700,400.5,0.0,261.2
80,28.8328,40.9700,410.9,0.0,256.4
81,28.8357,40.9700,408.1,0.0,246.4
82,28.8387,40.9701,366.0,0.0,232.9
83,28.8417,40.9701,352.9,0.0,229.3
84,28.8447,40.9701,332.0,0.0,232.0
85,28.6754,40.9706,310.5,0.0,199.7
86,28.6783,40.9706,283.6,0.0,202.5
87,28.6813,40.9706,274.3,0.0,209.2
88,28.6843,40.9707,259.0,0.0,215.5
89,28.6872,40.9707,284.2,0.0,219.7
90,28.7912,40.9718,337.3,0.0,302.2
91,28.7941,40.9719,307.3,0.0,304.1
