Station Name,Latitude,Longitude
A00001,46.92004247,-123.2090915
A00002,46.92006571,-123.1959577
A00003,46.92008743,-123.1828239
A00004,46.92010765,-123.16969
A00005,46.92012637,-123.1565562
A00006,46.92014357,-123.1434223
A00007,46.92015927,-123.1302885
A00008,46.92017347,-123.1171546
A00009,46.92018615,-123.1040207
A00010,46.92019733,-123.0908868
A00011,46.920207,-123.0777529
A00012,46.92021517,-123.0646189
A00013,46.92022183,-123.051485
A00014,46.92022698,-123.0383511
A00015,46.92023063,-123.0252172
A00016,46.92023277,-123.0120832
A00017,46.9202334,-122.9989493
A00018,46.92023253,-122.9858154
A00019,46.92023015,-122.9726814
A00020,46.92022626,-122.9595475
A00021,46.92022087,-122.9464136
A00022,46.92021397,-122.9332796
A00023,46.92020556,-122.9201457
A00024,46.92019564,-122.9070118
A00025,46.92018422,-122.8938779
A00026,46.9201713,-122.880744
A00027,46.92015686,-122.8676101
A00028,46.92014092,-122.8544762
A00029,46.92012347,-122.8413424
A00030,46.92010452,-122.8282085
A00031,46.92008406,-122.8150747
A00032,46.92006209,-122.8019409
A00033,46.92003862,-122.7888071
A00034,46.92001364,-122.7756733
A00035,46.91998715,-122.7625395
A00036,46.91995916,-122.7494058
A00037,46.91992965,-122.736272
A00038,46.91989865,-122.7231383
A00039,46.91986613,-122.7100046
A00040,46.91983211,-122.696871
A00041,46.91979659,-122.6837373
A00042,46.91975955,-122.6706037
A00043,46.91972101,-122.6574701
A00044,46.91968097,-122.6443366
A00045,46.91963941,-122.631203
A00046,46.91959635,-122.6180695
A00047,46.91955179,-122.6049361
A00048,46.91950571,-122.5918026
A00049,46.91945813,-122.5786692
A00050,46.91940905,-122.5655358
A00051,46.91935845,-122.5524025
A00052,46.91930635,-122.5392692
A00053,46.91925275,-122.5261359
A00054,46.91919764,-122.5130027
A00055,46.91914102,-122.4998695
A00056,46.91908289,-122.4867364
A00057,46.91902326,-122.4736033
A00058,46.91896212,-122.4604702
A00059,46.91889948,-122.4473372
A00060,46.91883533,-122.4342042
A00061,46.91876967,-122.4210713
A00062,46.91870251,-122.4079384
A00063,46.91863384,-122.3948056
A00064,46.91856366,-122.3816728
A00065,46.91849198,-122.3685401
A00066,46.91841879,-122.3554074
A00067,46.91834409,-122.3422747
A00068,46.91826789,-122.3291422
A00069,46.91819018,-122.3160096
A00070,46.91811097,-122.3028772
A00071,46.91803025,-122.2897447
A00072,46.91794802,-122.2766124
A00073,46.91786429,-122.2634801
A00074,46.91777905,-122.2503478
A00075,46.9176923,-122.2372157
A00076,46.91760405,-122.2240835
A00077,46.91751429,-122.2109515
A00078,46.91742303,-122.1978195
A00079,46.91733026,-122.1846876
A00080,46.91723598,-122.1715557
A00081,46.9171402,-122.1584239
A00082,46.91704291,-122.1452922
A00083,46.91694412,-122.1321605
A00084,46.91684382,-122.1190289
A00085,46.91674201,-122.1058974
A00086,46.9166387,-122.092766
A00087,46.91653388,-122.0796346
A00088,46.91642756,-122.0665033
A00089,46.91631973,-122.0533721
A00090,46.91621039,-122.0402409
A00091,46.91609955,-122.0271099
A00092,46.9159872,-122.0139789
A00093,46.91587335,-122.000848
A00094,46.91575799,-121.9877171
A00095,46.91564113,-121.9745864
A00096,46.91552276,-121.9614557
A00097,46.91540288,-121.9483251
A00098,46.9152815,-121.9351946
A00099,46.91515861,-121.9220642
A00100,46.91503422,-121.9089339
A00101,46.91490832,-121.8958037
A00102,46.91478091,-121.8826735
A00103,46.914652,-121.8695435
A00104,46.91452159,-121.8564135
A00105,46.91438967,-121.8432836
A00106,46.91425624,-121.8301538
A00107,46.91412131,-121.8170241
A00108,46.91398487,-121.8038945
A00109,46.91384693,-121.7907651
A00110,46.91370748,-121.7776357
A00111,46.91356652,-121.7645064
