Pseudo Period,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23
0.01,0.28,-0.15,0.07,0.04,-0.05,-0.1,-0.08,0.11,0,-0.25,0.04,-0.19,-0.07,-0.03,0.03,0.04,0,-0.05,-0.21,0.03,-0.15,-0.43,-0.71
0.05,0.24,-0.19,0.23,0.04,-0.18,-0.1,0.06,-0.1,-0.14,-0.16,0.21,-0.23,-0.09,0.07,-0.17,0.05,0.12,0.2,0.3,0.07,-0.48,0.48,0
0.075,0.21,-0.21,0.29,0.08,-0.17,0.06,0.34,-0.24,-0.16,0.08,0.11,0.01,-0.02,0.06,-0.05,0,0.02,0.07,0.4,-0.04,0.56,-0.29,0
0.1,0.2,-0.22,0.27,0.08,-0.09,0.15,0.45,-0.11,-0.06,0.21,-0.22,0.26,0.17,-0.08,0.25,-0.05,-0.13,-0.25,-0.39,-0.08,-0.25,0.16,0
0.2,0.22,-0.2,0.09,0.04,0.23,0.3,0.11,0.53,0.47,-0.05,-0.31,0.05,-0.2,-0.05,-0.05,-0.08,0.05,0.2,0.2,-0.01,0.06,0.1,0
0.3,0.24,-0.14,-0.11,0.02,0.39,0.28,-0.11,0.19,-0.06,0.15,0.53,0.08,0.33,0.16,-0.05,0.2,0.03,-0.36,0.12,0.01,-0.03,0.02,0
0.4,0.24,-0.09,-0.19,-0.05,0.37,0.2,-0.13,-0.19,-0.35,0.1,0.09,0,-0.15,-0.01,0.18,-0.35,-0.15,0.53,-0.18,-0.08,0.03,0.02,0
0.5,0.24,-0.04,-0.25,-0.11,0.31,0.02,-0.01,-0.35,-0.19,-0.09,-0.47,0.03,-0.23,-0.17,-0.28,0.24,0.14,-0.33,0.13,0.04,-0.03,0.02,0
0.75,0.23,0.05,-0.3,-0.2,0.08,-0.19,0.22,-0.26,0.37,-0.18,-0.12,-0.13,0.42,0.34,0.33,-0.02,0.15,0.13,0.08,0.11,0.02,0.02,0
1,0.22,0.13,-0.27,-0.27,-0.1,-0.17,0.32,-0.05,0.31,0,0.37,0.21,-0.17,-0.24,-0.4,-0.2,-0.25,-0.02,-0.1,-0.07,-0.03,-0.01,0
1.5,0.19,0.22,-0.2,-0.26,-0.23,0.02,0.19,0.28,-0.18,0.32,0.06,-0.09,-0.26,-0.07,0.3,0.51,0.15,0.15,-0.05,0.11,0.03,0.02,0
2,0.19,0.27,-0.1,-0.17,-0.27,0.2,0.06,0.3,-0.34,0.06,-0.26,-0.25,0.28,0.23,-0.33,-0.38,-0.02,-0.11,0.01,-0.03,0,-0.02,0
3,0.17,0.3,0.06,0,-0.25,0.38,-0.2,-0.1,-0.03,-0.44,-0.02,0.54,0.06,0.13,0.01,0.24,-0.16,0.17,0.04,0.03,-0.04,-0.03,0
4,0.16,0.32,0.12,0.11,-0.11,0.32,-0.14,-0.24,0.24,0.11,0.16,-0.09,-0.11,-0.2,0.08,-0.26,0.63,-0.12,-0.09,-0.08,-0.01,-0.01,0
5,0.15,0.32,0.15,0.24,0.06,0.17,-0.08,-0.23,0.27,0.27,-0.05,-0.4,-0.09,0.1,-0.04,0.14,-0.54,-0.04,0.02,0.24,-0.03,0,0
7.5,0.12,0.31,0.08,0.37,0.23,-0.25,0.116,0.06,-0.03,0.03,-0.04,-0.01,0.13,0.12,-0.25,0.28,0.12,0.23,-0.18,-0.57,0.02,0,0
10,0.12,0.3,0.01,0.41,0.2,-0.3,0.18,0.17,-0.19,-0.03,0.02,0.26,0.01,-0.09,0.05,-0.21,0.11,0,0.08,0.6,-0.01,-0.02,0
11,0.28,-0.15,0.07,0.04,-0.05,-0.1,-0.08,0.11,0,-0.25,0.05,-0.19,-0.07,-0.03,0.03,0.04,0,-0.05,-0.21,0.03,-0.14,-0.43,0.71
12,0.26,0.13,-0.08,0.09,-0.1,-0.29,-0.23,0.11,-0.03,0.01,-0.04,0.09,-0.16,-0.04,0.44,-0.21,-0.23,-0.3,0.39,-0.41,-0.02,0.09,0
13,0.23,-0.12,0.19,-0.19,-0.1,-0.3,-0.43,-0.05,0.13,0.52,-0.16,0.3,0.19,0.03,-0.19,0.02,0.09,0.19,0.04,0.11,-0.11,-0.15,0
14,0.26,0.01,0.25,-0.17,0.02,-0.19,-0.23,0.07,-0.01,-0.21,0.03,-0.1,0.07,-0.12,-0.01,0.04,-0.03,-0.1,-0.35,0.1,0.55,0.47,0
15,-0.09,0.21,0.41,-0.4,0.29,-0.09,0.1,0,-0.02,-0.01,0.06,0.11,-0.39,0.54,0.04,-0.1,0.06,-0.15,-0.06,0,-0.08,-0.07,0
16,-0.07,0.27,0.36,-0.38,0.27,0.02,0.09,0.03,-0.07,-0.1,-0.01,-0.12,0.34,-0.54,0.11,0.04,-0.09,0.1,0.24,-0.06,-0.15,-0.14,0
