Period (s),Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19
0.01,0.270963956,-0.139418157,0.069042006,-0.106094866,-0.092288075,-0.113489976,-0.188935371,0.153956802,-0.160082932,-0.048587866,0.106169114,0.054536713,-0.084234729,0.002065072,0.233666516,-0.044410608,-0.298766213,-0.52758886,-0.580349073
0.02,0.270185457,-0.141734439,0.077015669,-0.116393534,-0.103464378,-0.124082463,-0.199840301,0.155452551,-0.157024101,-0.051178153,0.102685985,0.053409178,-0.078580773,0.005380475,0.220317829,-0.039452593,-0.257172669,-0.150994889,0.781868928
0.03,0.266716484,-0.150918021,0.10124175,-0.14462023,-0.128327845,-0.150413273,-0.217519115,0.154533128,-0.144555133,-0.049378491,0.086538081,0.036903447,-0.05519759,0.007872495,0.14965151,-0.023208797,-0.028459788,0.808901724,-0.226437335
0.05,0.25168824,-0.184642999,0.178879968,-0.221328311,-0.175557526,-0.176668887,-0.188651351,0.042474906,-0.04550901,-0.029188573,-0.031576452,-0.060541145,0.093550824,0.022442393,-0.299181352,0.059916886,0.754350403,-0.206472973,0.023109345
0.075,0.236434541,-0.218922079,0.237254184,-0.234559034,-0.133267088,-0.043182809,0.119447151,-0.272310555,0.238192698,0.100676333,-0.263315034,-0.121207177,0.202769694,0.006619361,-0.493306767,0.116246173,-0.475923823,0.036773377,-0.006439557
0.1,0.232994643,-0.228087987,0.230554573,-0.160443024,0.040056422,0.181657485,0.427112684,-0.32457928,0.263780433,0.142634796,-0.081378035,0.046530551,-0.151801547,-0.083318314,0.534198178,-0.18459675,0.210357917,-0.002842256,0.003311087
0.15,0.238919759,-0.211905954,0.132646222,0.08204535,0.327946973,0.393273105,0.325836316,0.162029625,-0.182164846,-0.138319895,0.470111475,0.177876088,-0.1112565,0.088317791,-0.291143253,0.262494245,-0.001522915,0.015477002,0.001500809
0.2,0.247247201,-0.17405361,-0.008257433,0.277382297,0.403271334,0.22043762,-0.083731294,0.22479602,-0.171941473,-0.029274713,-0.381524121,-0.237244496,0.356271009,-0.0850495,-0.012543481,-0.442559355,0.015112519,0.011096455,0.001941875
0.25,0.253677097,-0.122375885,-0.148595586,0.365271223,0.253186444,-0.061244251,-0.283389735,-0.081143793,0.212210668,0.143362427,-0.275727619,-0.041130716,-0.202014525,0.022845904,0.155257214,0.632145332,0.045513019,0.000690597,0.000469635
0.3,0.254921192,-0.071319446,-0.237030888,0.3590731,0.040108011,-0.248766602,-0.141859038,-0.286692239,0.300971238,0.057999372,0.328411992,0.208361703,-0.194768508,0.032429501,-0.258822161,-0.477244327,0.001910947,0.006621853,0.000188267
0.4,0.252458254,0.012509129,-0.327121081,0.226053197,-0.26129762,-0.216236975,0.34408056,-0.121230621,-0.060271432,-0.219189671,0.211470671,-0.128634841,0.576234521,-0.055076043,0.197333044,0.205766455,0.023662145,0.003703701,0.000185197
0.5,0.245944241,0.079960414,-0.358449873,0.06409981,-0.341792254,0.022496755,0.388717982,0.177122204,-0.255990758,-0.006443036,-0.375390123,-0.076206147,-0.502002036,0.018366236,-0.176351452,-0.068634549,0.015423346,0.005418228,0.001278689
0.75,0.225758567,0.191381035,-0.335176303,-0.216152634,-0.165178955,0.423011572,-0.144255462,0.187567292,0.149360082,0.530105301,0.041796232,0.326784764,0.274609836,0.055872476,0.004427376,0.01113525,0.024404534,0.000682889,0.000198665
1,0.211097169,0.25940565,-0.243643585,-0.325745719,0.076348429,0.330279571,-0.220001696,-0.117395307,0.271296591,-0.438774328,0.148165306,-0.484545679,-0.143691434,-0.038914747,0.008933816,-0.020554923,-0.006115844,0.003802465,-0.000389229
1.5,0.188387437,0.329799741,-0.094669261,-0.273646379,0.356651426,-0.15316113,-0.000682051,-0.329897663,-0.26736175,-0.279382156,-0.263740501,0.528987613,0.070328146,-0.083525844,-0.025495344,0.027113932,0.012619467,0.003853574,-0.000809502
2,0.176395533,0.357332294,0.055438751,-0.155161958,0.354513035,-0.343041979,0.16189588,-0.027535596,-0.207859409,0.506833313,0.205450556,-0.413916086,-0.040749725,0.168472841,-0.002354657,-0.005883176,-0.003342224,0.001978687,0.00170392
3,0.165469018,0.36004062,0.26039217,0.066980367,0.057270198,-0.220913199,0.18106255,0.519913777,0.462086625,-0.104489885,-0.021963204,0.119011799,-0.004299882,-0.417545575,-0.040108105,0.02006072,-0.005260252,-0.005801674,0.00045823
4,0.159580892,0.34792716,0.348346295,0.239394141,-0.157211928,0.092877911,-0.005016021,0.016975969,0.109978222,-0.182603154,-0.12123349,0.071130693,0.062058273,0.750450107,0.078542066,-0.052110209,0.007519366,-0.001882681,-0.001851904
5,0.148832921,0.332847695,0.365098052,0.331227695,-0.281334582,0.283334016,-0.182848345,-0.325817997,-0.310946154,0.128556114,0.083717366,-0.070382876,-0.046192413,-0.441499964,-0.040590626,0.033716162,0.001162919,0.00401605,0.00050557
