type,Dy,Ay,Du,Au
W1,0.24,0.2,4.316,0.6
W2,0.157,0.1,2.349,0.25
S1L,0.153,0.062,2.292,0.187
S1M,0.444,0.039,4.437,0.117
S1H,1.164,0.024,8.732,0.073
S2L,0.157,0.1,1.566,0.2
S2M,0.607,0.083,4.043,0.167
S2H,1.936,0.063,9.682,0.127
S3,0.157,0.1,1.566,0.2
S4L,0.096,0.08,1.079,0.18
S4M,0.273,0.067,2.047,0.15
S4H,0.871,0.051,4.902,0.114
S5L,0.12,0.1,1.199,0.2
S5M,0.341,0.083,2.274,0.167
S5H,1.089,0.063,5.446,0.127
C1L,0.098,0.062,1.467,0.187
C1M,0.288,0.052,2.881,0.156
C1H,0.503,0.024,3.77,0.073
C2L,0.12,0.1,1.499,0.25
C2M,0.26,0.083,2.163,0.208
C2H,0.735,0.063,4.593,0.159
C3L,0.12,0.1,1.349,0.225
C3M,0.26,0.083,1.946,0.188
C3H,0.735,0.063,4.134,0.143
PC1,0.18,0.15,1.798,0.3
PC2L,0.12,0.1,1.199,0.2
PC2M,0.26,0.083,1.73,0.167
PC2H,0.735,0.063,3.674,0.127
RM1L,0.16,0.133,1.598,0.267
RM1M,0.346,0.111,2.306,0.222
RM2L,0.16,0.133,1.598,0.267
RM2M,0.346,0.111,2.306,0.222
RM2H,0.98,0.085,4.898,0.169
URML,0.24,0.2,2.397,0.4
URMM,0.272,0.111,1.812,0.222
MH,0.18,0.15,2.158,0.3
