type,Dy,Ay,Du,Au
W1,0.36,0.3,6.475,0.9
W2,0.313,0.2,4.698,0.5
S1L,0.306,0.125,5.5,0.375
S1M,0.888,0.078,10.651,0.234
S1H,2.329,0.049,20.957,0.147
S2L,0.313,0.2,3.758,0.4
S2M,1.213,0.167,9.704,0.333
S2H,3.873,0.127,23.237,0.254
S3,0.313,0.2,3.758,0.4
S4L,0.192,0.16,2.59,0.36
S4M,0.546,0.133,4.913,0.3
S4H,1.743,0.102,11.76,0.228
S5L,0.12,0.1,1.199,0.2
S5M,0.341,0.083,2.274,0.167
S5H,1.089,0.063,5.446,0.127
C1L,0.196,0.125,3.52,0.375
C1M,0.576,0.104,6.914,0.312
C1H,1.005,0.049,9.049,0.147
C2L,0.24,0.2,3.597,0.5
C2M,0.519,0.167,5.191,0.417
C2H,1.47,0.127,11.023,0.317
C3L,0.12,0.1,1.349,0.225
C3M,0.26,0.083,1.946,0.188
C3H,0.735,0.063,4.134,0.143
PC1,0.36,0.3,4.316,0.6
PC2L,0.24,0.2,2.878,0.4
PC2M,0.519,0.167,4.153,0.333
PC2H,1.47,0.127,8.818,0.254
RM1L,0.32,0.267,3.836,0.533
RM1M,0.692,0.222,5.535,0.444
RM2L,0.32,0.267,3.836,0.533
RM2M,0.692,0.222,5.535,0.444
RM2H,1.959,0.169,11.755,0.338
URML,0.24,0.2,2.397,0.4
URMM,0.272,0.111,1.812,0.222
MH,0.18,0.15,2.158,0.3
