type,Dy,Ay,Du,Au
W1,0.96,0.8,23.02,2.4
W2,1.252,0.8,25.056,2
S1L,1.222,0.5,29.334,1.498
S1M,3.55,0.312,56.8,0.936
S1H,9.314,0.196,111.768,0.586
S2L,1.252,0.8,20.046,1.6
S2M,4.852,0.666,51.752,1.334
S2H,15.492,0.508,123.93,1.016
S3,1.252,0.8,20.046,1.6
S4L,0.768,0.64,13.812,1.44
S4M,2.184,0.534,26.2,1.2
S4H,6.972,0.406,62.74,0.914
S5L,0.12,0.1,1.199,0.2
S5M,0.341,0.083,2.274,0.167
S5H,1.089,0.063,5.446,0.127
C1L,0.782,0.5,18.774,1.498
C1M,2.304,0.416,36.872,1.248
C1H,4.022,0.196,48.26,0.586
C2L,0.96,0.8,19.184,2
C2M,2.076,0.666,27.682,1.666
C2H,5.878,0.508,58.788,1.27
C3L,0.12,0.1,1.349,0.225
C3M,0.26,0.083,1.946,0.188
C3H,0.735,0.063,4.134,0.143
PC1,1.438,1.2,23.02,2.4
PC2L,0.96,0.8,15.346,1.6
PC2M,2.076,0.666,22.146,1.334
PC2H,5.878,0.508,47.03,1.016
RM1L,1.278,1.066,20.458,2.132
RM1M,2.768,0.888,29.52,1.778
RM2L,1.278,1.066,20.458,2.132
RM2M,2.768,0.888,29.52,1.778
RM2H,7.836,0.676,62.692,1.354
URML,0.24,0.2,2.397,0.4
URMM,0.272,0.111,1.812,0.222
MH,0.36,0.3,4.316,0.6
