type,Dy,Ay,Du,Au
W1,0.72,0.6,17.265,1.8
W2,0.939,0.6,18.792,1.5
S1L,0.9165,0.375,22.0005,1.1235
S1M,2.6625,0.234,42.6,0.702
S1H,6.9855,0.147,83.826,0.4395
S2L,0.939,0.6,15.0345,1.2
S2M,3.639,0.4995,38.814,1.0005
S2H,11.619,0.381,92.9475,0.762
S3,0.939,0.6,15.0345,1.2
S4L,0.576,0.48,10.359,1.08
S4M,1.638,0.4005,19.65,0.9
S4H,5.229,0.3045,47.055,0.6855
S5L,0.12,0.1,1.199,0.2
S5M,0.341,0.083,2.274,0.167
S5H,1.089,0.063,5.446,0.127
C1L,0.5865,0.375,14.0805,1.1235
C1M,1.728,0.312,27.654,0.936
C1H,3.0165,0.147,36.195,0.4395
C2L,0.72,0.6,14.388,1.5
C2M,1.557,0.4995,20.7615,1.2495
C2H,4.4085,0.381,44.091,0.9525
C3L,0.12,0.1,1.349,0.225
C3M,0.26,0.083,1.946,0.188
C3H,0.735,0.063,4.134,0.143
PC1,1.0785,0.9,17.265,1.8
PC2L,0.72,0.6,11.5095,1.2
PC2M,1.557,0.4995,16.6095,1.0005
PC2H,4.4085,0.381,35.2725,0.762
RM1L,0.9585,0.7995,15.3435,1.599
RM1M,2.076,0.666,22.14,1.3335
RM2L,0.9585,0.7995,15.3435,1.599
RM2M,2.076,0.666,22.14,1.3335
RM2H,5.877,0.507,47.019,1.0155
URML,0.24,0.2,2.397,0.4
URMM,0.272,0.111,1.812,0.222
MH,0.27,0.225,3.237,0.45
